,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE001134_MANZ_13_34,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
1,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE002148_MANZ_11_49,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
2,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE033686_MANZ_13_49,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
3,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE033687_MANZ_13_50,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
4,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE039439_MANZ_12_76,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
5,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_UBOE064182_MANZ_11_67,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
6,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_VIAE006832_MANZ_11_90,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
7,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_FOGE010749_MANZ_13_38,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
8,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_CFIE007903_MANZ_13_22,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
9,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_CNMD__0000199857,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
10,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_CNMD__0000199860,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
11,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bid_braidense_it_7_MI0185_CNMD__0000199862,http://dbpedia.org/resource/Alessandro_Manzoni,http://wikidata.org/entity/Q1064
