,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_65,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
1,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_66,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
2,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_67,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
3,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_69,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
4,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_71,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
5,http://data.europeana.eu/proxy/europeana/90402/RP_P_1954_72,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
6,http://data.europeana.eu/proxy/europeana/90402/RP_P_OB_32_995,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
7,http://data.europeana.eu/proxy/europeana/90402/RP_P_1906_3255,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
8,http://data.europeana.eu/proxy/europeana/90402/RP_P_OB_59_013,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
9,http://data.europeana.eu/proxy/europeana/90402/RP_P_OB_19_938,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
10,http://data.europeana.eu/proxy/europeana/90402/RP_P_1891_A_16579,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
11,http://data.europeana.eu/proxy/europeana/90402/RP_P_1891_A_16580,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
12,http://data.europeana.eu/proxy/europeana/90402/RP_P_1891_A_16581,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
13,http://data.europeana.eu/proxy/europeana/90402/RP_P_1891_A_16583,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
14,http://data.europeana.eu/proxy/europeana/90402/RP_P_1891_A_16584,http://dbpedia.org/resource/Francis_Barlow_(artist),http://wikidata.org/entity/Q3081300
