,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2020903/KMSsp516,http://dbpedia.org/resource/Emanuel_Murant,http://wikidata.org/entity/Q765989
1,http://data.europeana.eu/proxy/europeana/2020903/KMSsp517,http://dbpedia.org/resource/Emanuel_Murant,http://wikidata.org/entity/Q765989
2,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_18469,http://dbpedia.org/resource/Emanuel_Murant,http://wikidata.org/entity/Q765989
3,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10340595,http://dbpedia.org/resource/Emanuel_Murant,http://wikidata.org/entity/Q765989
4,http://data.europeana.eu/proxy/europeana/04202/BibliographicResource_3000135709622,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
5,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bncf_firenze_sbn_it_21_FI0098_Magliabechi_PUVE008924,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
6,http://data.europeana.eu/proxy/europeana/2048088/oai_www_internetculturale_it_metaoaicat_oai_bncf_firenze_sbn_it_21_FI0098_Magliabechi_CFIE001093,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
7,http://data.europeana.eu/proxy/europeana/9200332/BibliographicResource_3000113552799,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
8,http://data.europeana.eu/proxy/europeana/9200332/BibliographicResource_3000095371560,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
9,http://data.europeana.eu/proxy/europeana/9200332/BibliographicResource_3000123580512,http://dbpedia.org/resource/Emanuel_Sweert,http://wikidata.org/entity/Q1334797
10,http://data.europeana.eu/proxy/europeana/04101/69E4D600D25F6A9F607003E23CCEF4D5816AF0B6,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
11,http://data.europeana.eu/proxy/europeana/04101/7D4DB550ED6F381768991433F34F05FBB6C0C927,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
12,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_81157,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
13,http://data.europeana.eu/proxy/europeana/2020903/KMS6320,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
14,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_38801,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
15,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_39547,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
16,http://data.europeana.eu/proxy/europeana/2021608/11259_collection_39651,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
17,http://data.europeana.eu/proxy/europeana/2021663/memorix_3a51b3a4_fb8f_11df_9e4d_523bc2e286e2,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
18,http://data.europeana.eu/proxy/europeana/2021618/internetserver_Details_kunst_18532,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
19,http://data.europeana.eu/proxy/europeana/2021663/memorix_38e9763c_fb8f_11df_9e4d_523bc2e286e2,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
20,http://data.europeana.eu/proxy/europeana/2021662/zoeken_en_vinden_beeldbank_weergave_record_layout_default_id_dcad7868_2d21_e70b_821f_72456955c2e8,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
21,http://data.europeana.eu/proxy/europeana/2021664/search_identifier_uba_items_80068ceda94297a6b5b732c7ce01be6e,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
22,http://data.europeana.eu/proxy/europeana/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_19573,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
23,http://data.europeana.eu/proxy/europeana/2064105/Museu_ProvidedCHO_Hallwylska_museet_14111,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
24,http://data.europeana.eu/proxy/europeana/92034/GVNRC_NCRD01_100762700,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
25,http://data.europeana.eu/proxy/europeana/92034/GVNRC_MAU01_0473,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
26,http://data.europeana.eu/proxy/europeana/92034/GVNRC_MAU01_0824,http://dbpedia.org/resource/Emanuel_de_Witte,http://wikidata.org/entity/Q711203
27,http://data.europeana.eu/proxy/europeana/92060/BibliographicResource_1000126006736,http://dbpedia.org/resource/Emanuel_von_Friedrichsthal,http://wikidata.org/entity/Q88737
28,http://data.europeana.eu/proxy/europeana/92060/BibliographicResource_1000126006738,http://dbpedia.org/resource/Emanuel_von_Friedrichsthal,http://wikidata.org/entity/Q88737
29,http://data.europeana.eu/proxy/europeana/15508/23844,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
30,http://data.europeana.eu/proxy/europeana/15508/23845,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
31,http://data.europeana.eu/proxy/europeana/15508/25363,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
32,http://data.europeana.eu/proxy/europeana/15508/25364,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
33,http://data.europeana.eu/proxy/europeana/15508/25871,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
34,http://data.europeana.eu/proxy/europeana/15508/27498,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
35,http://data.europeana.eu/proxy/europeana/15508/27675,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
36,http://data.europeana.eu/proxy/europeana/15508/29059,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
37,http://data.europeana.eu/proxy/europeana/15508/31467,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
38,http://data.europeana.eu/proxy/europeana/15508/32931,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
39,http://data.europeana.eu/proxy/europeana/15508/32932,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
40,http://data.europeana.eu/proxy/europeana/15508/32933,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
41,http://data.europeana.eu/proxy/europeana/15508/32934,http://dbpedia.org/resource/Emil_Jakob_Schindler,http://wikidata.org/entity/Q670922
