,Europeana_proxy,External_URI,Wikidata_URI
0,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10338620,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
1,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10338621,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
2,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10338622,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
3,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10090050,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
4,http://data.europeana.eu/proxy/europeana/2048410/item_M6NF5MDFIVATHJFHMRVORPGSNQEPPS6T,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
5,http://data.europeana.eu/proxy/europeana/2048411/item_3HJZ6XSH3I3TKBNN33AMMW6WKB2OTQ77,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
6,http://data.europeana.eu/proxy/europeana/2048418/item_BTZ6HPXMFQPKTJYPMGJTLAUMGO6WNEGR,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
7,http://data.europeana.eu/proxy/europeana/2048417/item_BTZ6HPXMFQPKTJYPMGJTLAUMGO6WNEGR,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
8,http://data.europeana.eu/proxy/europeana/2064105/Museu_ProvidedCHO_Hallwylska_museet_14146,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
9,http://data.europeana.eu/proxy/europeana/9200365/BibliographicResource_1000055023150,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
10,http://data.europeana.eu/proxy/europeana/9200365/BibliographicResource_3000094670121,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
11,http://data.europeana.eu/proxy/europeana/9200365/BibliographicResource_3000094670138,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
12,http://data.europeana.eu/proxy/europeana/9200365/BibliographicResource_3000094670148,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
13,http://data.europeana.eu/proxy/europeana/92034/GVNRC_MAU01_1098,http://dbpedia.org/resource/Bartholomeus_Breenbergh,http://wikidata.org/entity/Q809318
14,http://data.europeana.eu/proxy/europeana/09404/id_oai_cyfrowe_mnw_art_pl_1499,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
15,http://data.europeana.eu/proxy/europeana/15502/GG_1095,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
16,http://data.europeana.eu/proxy/europeana/15502/GG_1097,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
17,http://data.europeana.eu/proxy/europeana/15502/GG_1099,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
18,http://data.europeana.eu/proxy/europeana/15502/GG_1100,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
19,http://data.europeana.eu/proxy/europeana/15502/GG_1119,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
20,http://data.europeana.eu/proxy/europeana/15502/GG_1125,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
21,http://data.europeana.eu/proxy/europeana/15502/GG_1126,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
22,http://data.europeana.eu/proxy/europeana/15502/GG_1128,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
23,http://data.europeana.eu/proxy/europeana/15502/GG_1133,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
24,http://data.europeana.eu/proxy/europeana/15502/GG_1137,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
25,http://data.europeana.eu/proxy/europeana/15502/GG_1980,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
26,http://data.europeana.eu/proxy/europeana/15502/GG_2001,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
27,http://data.europeana.eu/proxy/europeana/15502/GG_2417,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
28,http://data.europeana.eu/proxy/europeana/15502/GG_2435,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
29,http://data.europeana.eu/proxy/europeana/15502/GG_2526,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
30,http://data.europeana.eu/proxy/europeana/15502/GG_2613,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
31,http://data.europeana.eu/proxy/europeana/15502/GG_2614,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
32,http://data.europeana.eu/proxy/europeana/15502/GG_2615,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
33,http://data.europeana.eu/proxy/europeana/15502/GG_6436,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
34,http://data.europeana.eu/proxy/europeana/2020903/KMS3089,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
35,http://data.europeana.eu/proxy/europeana/2020903/KMSst125,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
36,http://data.europeana.eu/proxy/europeana/2021002/e_IsShownAt_0B5723CF_9D01_4BFC_A225_2414DD1AA804,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
37,http://data.europeana.eu/proxy/europeana/2021663/memorix_fb6ceab6_cefd_9bec_5933_74cd64f776b0,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
38,http://data.europeana.eu/proxy/europeana/2021663/memorix_10edfd42_78f7_fc7c_1cc2_a43cc68cc370,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
39,http://data.europeana.eu/proxy/europeana/2021663/memorix_6907bb4d_3777_aa8c_217d_88927a78bd7b,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
40,http://data.europeana.eu/proxy/europeana/2021663/memorix_712d86b5_c369_0bf1_b6db_8cbe24af8e7d,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
41,http://data.europeana.eu/proxy/europeana/2021663/memorix_7dcc16c1_6a1e_b0fb_872b_37740add9514,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
42,http://data.europeana.eu/proxy/europeana/2021663/memorix_87567b46_7e18_3115_2039_61b7993f5702,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
43,http://data.europeana.eu/proxy/europeana/2021663/memorix_d78f0465_8d6e_0928_7d90_f7b604d7fdf2,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
44,http://data.europeana.eu/proxy/europeana/2021663/memorix_aea123a1_a380_3458_c540_05750090ffd5,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
45,http://data.europeana.eu/proxy/europeana/2022703/oai_euromuseos_mcu_es_euromuseos_MHU_00045,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
46,http://data.europeana.eu/proxy/europeana/2024903/photography_ProvidedCHO_KU_Leuven_9988524420101488,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
47,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10134314,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
48,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10134315,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
49,http://data.europeana.eu/proxy/europeana/2048001/Athena_Plus_ProvidedCHO_KIK_IRPA__Brussels__Belgium__AP_10144848,http://dbpedia.org/resource/Bartholomeus_Spranger,http://wikidata.org/entity/Q447682
