oeblbio,oeblid
http://www.wikidata.org/entity/Q70917,G/Gruenberg_Karl_1861_1940
http://www.wikidata.org/entity/Q72116,A/Aschbach_Josef_1801_1882
http://www.wikidata.org/entity/Q72988,R/Rosanes_Jakob_1842_1922
http://www.wikidata.org/entity/Q74612,T/Tamasy-Fogaras_Arpad_1861_1939
http://www.wikidata.org/entity/Q76586,K/Kautsky_Karl_1854_1938
http://www.wikidata.org/entity/Q76483,R/Rilke_Rainer-Maria_1875_1926
http://www.wikidata.org/entity/Q77242,B/Billroth_Theodor-Christian_1829_1894
http://www.wikidata.org/entity/Q78560,C/Czernin_Ottokar_1872_1932
http://www.wikidata.org/entity/Q78504,G/Gombrich_Ernst-Hans_1909_2001
http://www.wikidata.org/entity/Q78473,K/Kaltenbrunner_Ernst_1903_1946
http://www.wikidata.org/entity/Q78617,B/Belcredi_Richard_1823_1902
http://www.wikidata.org/entity/Q78606,F/Fuchs_Robert_1847_1927
http://www.wikidata.org/entity/Q78544,K/Koevess-Koevesshaza_Hermann_1854_1924
http://www.wikidata.org/entity/Q78741,B/Beck_Max-Wladimir_1854_1943
http://www.wikidata.org/entity/Q78782,B/Battisti_Cesare_1875_1916
http://www.wikidata.org/entity/Q78684,H/Hyrtl_Josef_1810_1894
http://www.wikidata.org/entity/Q78807,B/Baillet-Latour_Theodor_1780_1848
http://www.wikidata.org/entity/Q78820,B/Brandt_Marianne_1842_1921
http://www.wikidata.org/entity/Q78781,D/Dankl-Krasnik_Viktor_1854_1941
http://www.wikidata.org/entity/Q78865,B/Bauernfeld_Eduard_1802_1890
http://www.wikidata.org/entity/Q78852,C/Clary-Aldringen_Manfred_1852_1928
http://www.wikidata.org/entity/Q78746,K/Kerner-Marilaun_Anton_1831_1898
http://www.wikidata.org/entity/Q79002,A/Abendroth_Irene_1872_1932
http://www.wikidata.org/entity/Q78914,D/Domaszewski_Alfred_1856_1927
http://www.wikidata.org/entity/Q79001,B/Buol-Schauenstein_Karl-Ferdinand_1797_1865
http://www.wikidata.org/entity/Q78990,J/Jacquin_Joseph-Franz_1766_1839
http://www.wikidata.org/entity/Q79034,H/Hesse-Wartegg_Ernst_1854_1918
http://www.wikidata.org/entity/Q84548,E/Exner-Ewarten_Siegmund_1846_1926
http://www.wikidata.org/entity/Q84552,H/Hahn_Hans_1879_1934
http://www.wikidata.org/entity/Q84612,G/Giesl-Gieslingen_Wladimir_1860_1936
http://www.wikidata.org/entity/Q84585,K/Koller_Karl_1857_1944
http://www.wikidata.org/entity/Q84689,H/Hoernes_Rudolf_1850_1912
http://www.wikidata.org/entity/Q84774,E/Escherich_Gustav_1849_1935
http://www.wikidata.org/entity/Q84876,C/Chvostek_Franz_1835_1884
http://www.wikidata.org/entity/Q84832,H/Haberlandt_Michael_1860_1940
http://www.wikidata.org/entity/Q84932,H/Holzknecht_Guido_1872_1931
http://www.wikidata.org/entity/Q84994,F/Frimmel-Traisenau_Theodor_1853_1928
http://www.wikidata.org/entity/Q84996,H/Heider_Karl_1856_1935
http://www.wikidata.org/entity/Q85204,B/Berger_Artur_1892_1981
http://www.wikidata.org/entity/Q85144,E/Ehrhard_Albert-Josef-Maria_1862_1940
http://www.wikidata.org/entity/Q85219,B/Brauer_Friedrich-Moritz_1832_1904
http://www.wikidata.org/entity/Q85237,G/Graff_Kasimir-Romuald_1878_1950
http://www.wikidata.org/entity/Q85584,B/Buchta_Richard_1845_1894
http://www.wikidata.org/entity/Q85526,G/Gintl_Wilhelm-Julius_1804_1883
http://www.wikidata.org/entity/Q85826,C/Czapka-Winstetten_Ignaz_1791_1881
http://www.wikidata.org/entity/Q86296,D/Degen_Jakob_1756_1848
http://www.wikidata.org/entity/Q86345,H/Heller_Johann-Florian_1813_1871
http://www.wikidata.org/entity/Q86525,D/Druskowitz_Helene_1856_1918
http://www.wikidata.org/entity/Q86983,B/Berger_Johann-Nepomuk_1816_1870
http://www.wikidata.org/entity/Q86937,K/Kraus_Rudolf_1868_1932
http://www.wikidata.org/entity/Q87026,J/Jaksch-Wartenhorst_Anton_1810_1887
http://www.wikidata.org/entity/Q87049,K/Kohn_Theodor_1845_1915
http://www.wikidata.org/entity/Q87173,F/Friedjung_Heinrich_1851_1920
http://www.wikidata.org/entity/Q87177,J/Jaeger-Jaxthal_Friedrich_1784_1871
http://www.wikidata.org/entity/Q87425,K/Katzer_Friedrich_1861_1925
http://www.wikidata.org/entity/Q87687,B/Biedermann_Hermann-Ignaz_1831_1892
http://www.wikidata.org/entity/Q87737,G/Gegenbauer_Leopold_1849_1903
http://www.wikidata.org/entity/Q87887,E/Eskeles_Bernhard_1753_1839
http://www.wikidata.org/entity/Q87953,G/Granichstaedten_Bruno_1879_1944
http://www.wikidata.org/entity/Q88044,J/Jellinek_Oskar_1886_1949
http://www.wikidata.org/entity/Q88353,G/Gruenne_Karl_1808_1884
http://www.wikidata.org/entity/Q88737,F/Friedrichsthal_Emanuel_1809_1842
http://www.wikidata.org/entity/Q88839,K/Karlik_Berta-Emilie_1904_1990
http://www.wikidata.org/entity/Q88925,H/Hock_Carl_1808_1869
http://www.wikidata.org/entity/Q89400,G/Gopcevic_Spiridon_1855_1909
http://www.wikidata.org/entity/Q89546,H/Hammer-Purgstall_Joseph_1774_1856
http://www.wikidata.org/entity/Q89648,G/Gomperz_Max_1822_1913
http://www.wikidata.org/entity/Q89724,G/Gotthilf-Miskolczy_Ernst_1865_
http://www.wikidata.org/entity/Q89736,G/Gessner_Hubert_1871_1943
http://www.wikidata.org/entity/Q90019,F/Fuerth_Otto_1867_1938
http://www.wikidata.org/entity/Q90199,C/Colloredo-Mels-Wallsee_Wenzel-Joseph_1738_1822
http://www.wikidata.org/entity/Q90108,I/Innerkofler_Sepp_1865_1915
http://www.wikidata.org/entity/Q90215,F/Fessler_Josef_1813_1872
http://www.wikidata.org/entity/Q92301,D/Duller_Eduard_1809_1853
http://www.wikidata.org/entity/Q94071,B/Batka_Richard_1868_1922
http://www.wikidata.org/entity/Q94092,B/Benndorf_Hans_1870_1953
http://www.wikidata.org/entity/Q94065,D/Diener_Carl_1862_1928
http://www.wikidata.org/entity/Q94302,H/Herrmann_Emanuel_1839_1902
http://www.wikidata.org/entity/Q94672,G/Glaser_Julius_1831_1885
http://www.wikidata.org/entity/Q95203,J/Jordan_Jan-Petr_1818_1891
