 wikidataURI,"label"
 http://www.wikidata.org/entity/Q78571,"Abel, Othenio"
 http://www.wikidata.org/entity/Q330885,"Abraham"
 http://www.wikidata.org/entity/Q12788327,"Abram, Ema"
 http://www.wikidata.org/entity/Q12788878,"Abram, Filip"
 http://www.wikidata.org/entity/Q18529492,"Abram, Franc"
 http://www.wikidata.org/entity/Q12791966,"Abram, Janez"
 http://www.wikidata.org/entity/Q12791968,"Abram, Janez"
 http://www.wikidata.org/entity/Q17402218,"Abram, Josip"
 http://www.wikidata.org/entity/Q18604180,"Abram, Josip"
 http://www.wikidata.org/entity/Q12075685,"Abram, Jože"
 http://www.wikidata.org/entity/Q12794632,"Abram, Laura"
 http://www.wikidata.org/entity/Q61282370,"Abram, Lojze"
 http://www.wikidata.org/entity/Q12795299,"Abram, Luka"
 http://www.wikidata.org/entity/Q17402219,"Abram, Mario"
 http://www.wikidata.org/entity/Q3513521,"Abramić, Mihovil"
 http://www.wikidata.org/entity/Q6182417,"Abramič, Jernej"
 http://www.wikidata.org/entity/Q61282243,"Abršček, Emil"
 http://www.wikidata.org/entity/Q1063371,"Absolon, Karel"
 http://www.wikidata.org/entity/Q4938534,"Accetto, Bojan"
 http://www.wikidata.org/entity/Q21548331,"Accetto, Marko"
 http://www.wikidata.org/entity/Q61282000,"Accetto, Rok"
 http://www.wikidata.org/entity/Q18604181,"Accurti, Josip"
 http://www.wikidata.org/entity/Q5484742,"Adam, Frane"
 http://www.wikidata.org/entity/Q1412908,"Adami, Paul"
 http://www.wikidata.org/entity/Q891134,"Adamič, Bojan"
 http://www.wikidata.org/entity/Q14962,"Adamič, Emil"
 http://www.wikidata.org/entity/Q12788491,"Adamič, Ernest"
 http://www.wikidata.org/entity/Q12788991,"Adamič, Fran Serafin"
 http://www.wikidata.org/entity/Q59820970,"Adamič, Franc"
 http://www.wikidata.org/entity/Q3813876,"Adamič, France"
 http://www.wikidata.org/entity/Q17402222,"Adamič, Jelisava"
 http://www.wikidata.org/entity/Q12793485,"Adamič, Karlo"
 http://www.wikidata.org/entity/Q713658,"Adamič, Louis"
 http://www.wikidata.org/entity/Q61281773,"Adamič, Viktor"
 http://www.wikidata.org/entity/Q12807329,"Adamič, Štefan"
 http://www.wikidata.org/entity/Q54948434,"Adamović Japelj, Silva"
 http://www.wikidata.org/entity/Q12793168,"Adlešič, Juro"
 http://www.wikidata.org/entity/Q11182262,"Adlešič, Miroslav"
 http://www.wikidata.org/entity/Q21548436,"Adlešič, Vera"
 http://www.wikidata.org/entity/Q61281561,"Adrian, Makso"
 http://www.wikidata.org/entity/Q12785950,"Adžić Ursulov, Bjanka"
 http://www.wikidata.org/entity/Q61281219,"Agapito, Girolamo"
 http://www.wikidata.org/entity/Q12786349,"Agneletto, Branko"
 http://www.wikidata.org/entity/Q18604182,"Agneletto, Josip"
 http://www.wikidata.org/entity/Q61124289,"Agrež, Zvone"
 http://www.wikidata.org/entity/Q781125,"Agustič, Imre"
 http://www.wikidata.org/entity/Q6787451,"Ahacel, Matija"
 http://www.wikidata.org/entity/Q5304833,"Ahačič, Draga"
 http://www.wikidata.org/entity/Q12784364,"Ahlin, Alojz"
 http://www.wikidata.org/entity/Q5197146,"Ahlin, Cvetka"
 http://www.wikidata.org/entity/Q17402228,"Ahlin, France"
 http://www.wikidata.org/entity/Q19932501,"Ahn, Friedrich"
 http://www.wikidata.org/entity/Q12800508,"Ahčan, Rudi"
 http://www.wikidata.org/entity/Q5478266,"Ahčin, France"
 http://www.wikidata.org/entity/Q6095778,"Ahčin, Ivan"
 http://www.wikidata.org/entity/Q17402229,"Ahčin, Marjan"
 http://www.wikidata.org/entity/Q61280860,"Aichholzer, Franc"
 http://www.wikidata.org/entity/Q1362790,"Aichinger, Erwin"
