URIs,Name label
http://www.wikidata.org/entity/Q4063683,"Alcenius, Otto (1838 - 1913)"
http://www.wikidata.org/entity/Q11865392,"Hörhammer, Ivar (1884 - 1953)"
http://www.wikidata.org/entity/Q3268888,"Palmén, Erik (1898 - 1985)"
http://www.wikidata.org/entity/Q18760019,"Mannonen, Ulla (1895 - 1958)"
http://www.wikidata.org/entity/Q6224449,"Vhael, Bartholdus (1667 - 1723)"
http://www.wikidata.org/entity/Q11886278,"Korpisaari, Paavo (1886 - 1950)"
http://www.wikidata.org/entity/Q11886018,"Fieandt, Otto Carl von (1758 - 1825)"
http://www.wikidata.org/entity/Q5561382,"Aspelin-Haapkylä, Eliel (1847 - 1917)"
http://www.wikidata.org/entity/Q233277,Katariina Jagellonica (1526 - 1583)
http://www.wikidata.org/entity/Q297032,"Lvov, Georgi Jevgenijevitsh (1861 - 1925)"
http://www.wikidata.org/entity/Q17384404,"Uexküll, Sole (1920 - 1978)"
http://www.wikidata.org/entity/Q17381945,"Kuusi, Pekka (1917 - 1989)"
http://www.wikidata.org/entity/Q6458065,"Rautavaara, Albin Ewald (1873 - 1941)"
http://www.wikidata.org/entity/Q3362497,"Fieandt, Otto Henrik von (1762 - 1823)"
http://www.wikidata.org/entity/Q17381103,"Ingvall, Kurt (1925 - 1987)"
http://www.wikidata.org/entity/Q16986157,"Mallander, Jan Olof (1944 - )"
http://www.wikidata.org/entity/Q11897856,"Havu, Toini (1908 - 1998)"
http://www.wikidata.org/entity/Q234251,Lovisa Ulrika (1720 - 1782)
http://www.wikidata.org/entity/Q711999,"Larva, Harri (1906 - 1980)"
http://www.wikidata.org/entity/Q727574,"Döbeln, Georg Carl von (1758 - 1820)"
http://www.wikidata.org/entity/Q17382853,"Parvilahti, Unto (1907 - 1970)"
http://www.wikidata.org/entity/Q6254387,"Äyräpää, Aarne (1887 - 1971)"
http://www.wikidata.org/entity/Q11867521,"Salminen, Juhani (1933 - 2009)"
http://www.wikidata.org/entity/Q11865095,"Behm, Isak (K noin 1622)"
http://www.wikidata.org/entity/Q21043816,"Karström, Henning (1899 - 1989)"
http://www.wikidata.org/entity/Q11854166,"Sjöström, Bertil (1879 - 1945)"
http://www.wikidata.org/entity/Q11869409,"Kuusinen, Kalle (1889 - 1980)"
http://www.wikidata.org/entity/Q959002,"Erich, Rafael (1879 - 1946)"
http://www.wikidata.org/entity/Q157632,"Barclay de Tolly, Mihail (1761 - 1818)"
http://www.wikidata.org/entity/Q16989927,"Puolanne, Ulla (1931 - 2015)"
http://www.wikidata.org/entity/Q11885602,"Hämäläinen, Onni  (1885 - 1954)"
http://www.wikidata.org/entity/Q5400807,"Ongelin, Hanna (1848 - 1893)"
http://www.wikidata.org/entity/Q105705790,"Daher, Ymär (1910 - 1999)"
http://www.wikidata.org/entity/Q11868045,"Lumivuokko, Johan (1884 - 1938)"
http://www.wikidata.org/entity/Q2025832,"Zilliacus, Konni (1855 - 1924)"
http://www.wikidata.org/entity/Q5974252,"Malmström, Karl Robert (1830 - 1900)"
http://www.wikidata.org/entity/Q105705560,"Riisla, Yrjö Ossian (1889 - 1957)"
http://www.wikidata.org/entity/Q11900737,"Itkonen, Veikko (1919 - 1990)"
http://www.wikidata.org/entity/Q11854449,"Sivén, Bobi (1899 - 1921)"
http://www.wikidata.org/entity/Q11869389,"Kaihari, Kalle (1899 - 1989)"
http://www.wikidata.org/entity/Q17380656,"Heini, Maija-Liisa (1917 - 1988)"
http://www.wikidata.org/entity/Q18633337,"Lyytikäinen, Kirsti (1926 - 2008)"
http://www.wikidata.org/entity/Q718271,"Minkkinen, Arno Rafael (1945 - )"
http://www.wikidata.org/entity/Q11869366,"Anttila, Kaarlo (1926 - 1993)"
http://www.wikidata.org/entity/Q17381956,"Kuorikoski, Erkki (1813 - 1889)"
http://www.wikidata.org/entity/Q3565830,"Nuorvala, Kaarlo (1910 - 1967)"
http://www.wikidata.org/entity/Q17381677,"Kivikoski, Bruno (1892 - 1982)"
http://www.wikidata.org/entity/Q5895146,"Jägerhorn, Fredrik Adolf (1760 - 1817)"
http://www.wikidata.org/entity/Q5807131,"Hisingh, Mikael (1687 - 1756)"
http://www.wikidata.org/entity/Q11870577,"Kallio, Kauno Sakari (1877 - 1966)"
http://www.wikidata.org/entity/Q452506,"Sture, Sten vanhempi (noin 1437 - 1503)"
http://www.wikidata.org/entity/Q17382734,"Osol, Olga (1905 - 1994)"
http://www.wikidata.org/entity/Q12371726,"Ojala, Outi (1946 - 2017)"
http://www.wikidata.org/entity/Q105705291,"Hollming, Filip (1894 - 1951)"
http://www.wikidata.org/entity/Q463777,"Juutilainen, Ilmari (1914 - 1999)"
http://www.wikidata.org/entity/Q438481,"Gyllenstierna, Kristina Nilsintytär (1494 - 1559)"
http://www.wikidata.org/entity/Q56849402,"Paulig, Eduard (1889 - 1953)"
